line,page,page_row,kh_record_id,date,date_as_recorded,discharge_date,discharge_as_recorded,address_as_recorded,description_as_recorded,dog_name,species,sex,colour,life_stage,condition_as_recorded,opd,admission,medical_expense_recorded,payment_marked_done,media_label,animal_key,place_key,disposition,note
1,1,3,KH-RR-001,2024-01-25,25/1/2024,,,rajendra,white and brown,Chachi,dog,,White and brown,,,yes,,yes,,P1,A01,rajendra,profile,
2,1,4,KH-RR-002,2024-01-27,27/1/2024,,,rajendra,white and brown,Chachi,dog,,White and brown,,,,,yes,,,A01,rajendra,profile,
3,1,5,KH-RR-003,2024-01-27,27/1/2024,,,pili colony,brown dog,,dog,,Brown,,,,,,,,A02,pili-colony,profile,
4,1,6,KH-RR-004,2024-01-28,28/1/2024,,,pili colony,brown dog,,dog,,Brown,,,,,,,P2,A02,pili-colony,profile,
5,1,7,KH-RR-005,2024-01-28,28/1/2024,,,white dog dainik,jwhite dog,,dog,,White,,,,,,,P3,A03,dainik,profile,
6,1,8,KH-RR-006,2024-01-29,29/1/2024,,,pili colony,brown dog,,dog,,Brown,,,,,,,,A02,pili-colony,profile,
7,1,9,KH-RR-007,2024-01-30,30/1/2024,,,pili colony,brown dog,,dog,,Brown,,,,,,,,A02,pili-colony,profile,
8,1,10,KH-RR-008,2024-03-02,2/3/2024,,,aishbagh,white brown,,dog,,White and brown,,,,yes,,,P4,A04,aishbagh,profile,
9,1,11,KH-RR-009,2024-03-16,16/3/2024,,,vrinda wan colon,brown femel,,dog,female,Brown,,,,yes,,,,A05,vrindavan-colony,profile,
10,1,12,KH-RR-010,2024-04-08,8/4/2024,,,charbagh,black dog,,dog,,Black,,,,,yes,,,A06,charbagh,profile,
11,1,13,KH-RR-011,2024-04-09,9/4/2024,,,shikandra bad,brown dog,,dog,,Brown,,,,,,,B01,A07,shikandra-bad,profile,
12,1,14,KH-RR-012,2024-04-13,13/4/2024,,,gomti nagar,brown dog,,dog,,Brown,,,,,,yes,,A08,gomti-nagar,profile,
13,1,15,KH-RR-013,2024-04-16,16/4/2024,,,gomti nagar,brown dog,,dog,,Brown,,,,,,yes,,A08,gomti-nagar,profile,
14,1,16,KH-RR-014,2024-04-18,18/4/2024,,,Gomti Nagar,brown dog,,dog,,Brown,,,,,,yes,,A08,gomti-nagar,profile,
15,1,17,KH-RR-015,2024-04-16,16/4/2024,,,gol market,white brown,,dog,,White and brown,,,,,,yes,,A09,gol-market,profile,
16,1,18,KH-RR-016,2024-04-27,27/4/2024,,,shikandra bad,black dog,,dog,,Black,,,,,,,,A10,shikandra-bad,profile,
17,1,19,KH-RR-017,2024-04-27,27/4/2024,,,gol market,black dog,,dog,,Black,,,,,,,,A11,gol-market,profile,
18,1,20,KH-RR-018,2024-05-01,1/5/2024,,,gol market,black dog,,dog,,Black,,,,,,,,A11,gol-market,profile,OPD and Admission cells repeat the description and caretaker; not read as flags
19,1,21,KH-RR-019,2024-05-02,2/5/2024,,,gol market,black dog,,dog,,Black,,,,,,,P5,A11,gol-market,profile,
20,1,22,KH-RR-020,2024-05-12,12/5/2024,,,lamartsh,white dog,,dog,,White,,,,,,yes,,A12,la-martiniere,profile,
21,1,23,KH-RR-021,2024-05-16,16/5/2024,,,vishesh khand,brown dog,,dog,,Brown,,,,,,yes,,A13,vishesh-khand,profile,
22,1,24,KH-RR-022,2024-05-17,17/5/2024,,,vishesh khand,brown dog,,dog,,Brown,,,,,,,,A13,vishesh-khand,profile,
23,1,25,KH-RR-023,2024-05-18,18/5/2024,,,vishesh khand,brown dog,,dog,,Brown,,,,,,,,A13,vishesh-khand,profile,
24,1,26,KH-RR-024,2024-05-29,29/5/2024,,,aishbagh,eagle,,bird,,,,,,,,,,A14,aishbagh,profile,
25,1,27,KH-RR-025,2024-06-02,2/6/2024,,,omax hights,kabutar,,bird,,,,,,,,yes,,A15,omaxe-heights,profile,
26,1,28,KH-RR-026,2024-06-28,28/6/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
27,1,29,KH-RR-027,2024-06-29,29/6/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
28,1,30,KH-RR-028,2024-06-30,30/6/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
29,1,31,KH-RR-029,2024-06-26,26/6/2024,,,Dainik jagaran,brown dog,,dog,,Brown,,,,,,,,A17,dainik-jagran,profile,
30,1,32,KH-RR-030,2024-06-27,27/6/2024,,,Dainik jagaran,brown dog,,dog,,Brown,,,,,,,,A17,dainik-jagran,profile,
31,1,33,KH-RR-031,2024-06-28,28/6/2024,,,Dainik jagaran,brown dog,,dog,,Brown,,,,,,,,A17,dainik-jagran,profile,
32,1,34,KH-RR-032,2024-07-04,4/7/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
33,1,35,KH-RR-033,2024-07-13,13/7/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
34,1,36,KH-RR-034,2024-07-14,14/7/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
35,1,37,KH-RR-035,2024-07-23,23/7/2024,,,metro city,brown dog,,dog,,Brown,,,,,,,,A16,metro-city,profile,
